*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2016 287    14     5    209  1.7703  0.0203  1.1594  0.3438  0.1670 0.00000  3.764  7.252 28.329 24.959  0.0000  0.0000  0.0000
 2016 288    15     6    219  1.8769  0.0216  1.2380  0.3648  0.1690 0.00000  3.735  7.161 27.614 24.421  0.0000  0.0000  0.0000
 2016 289    16     7    226  1.3974  0.0218  0.9246  0.2550  0.1603 0.00000  3.707  7.062 28.372 25.111  0.0000  0.0000  0.0000
 2016 290    17     8    235  1.6666  0.0224  1.0900  0.3185  0.1720 0.00000  3.680  6.973 28.192 24.796  0.0000  0.0000  0.0000
 2016 291    18     9    245  1.8883  0.0227  1.2301  0.3709  0.1865 0.00000  3.658  6.893 28.520 24.814  0.0000  0.0000  0.0000
 2016 292    19    10    254  1.7553  0.0235  1.1428  0.3617  0.1772 0.00000  3.655  6.797 28.228 24.179  0.0000  0.0000  0.0000
 2016 293    20    11    265  2.0998  0.0243  1.3651  0.4446  0.1872 0.00000  3.655  6.712 27.620 23.575  0.0000  0.0000  0.0000
 2016 294    21    12    277  2.2637  0.0247  1.4825  0.4799  0.1913 0.00000  3.658  6.634 27.364 23.045  0.0000  0.0000  0.0000
 2016 295    22    13    290  2.3847  0.0257  1.5722  0.5069  0.1902 0.00000  3.662  6.560 26.593 22.347  0.0000  0.0000  0.0000
 2016 296    23    14    308  3.1222  0.0243  2.0847  0.7010  0.1489 0.00000  3.676  6.518 21.973 17.524  0.0000  0.0000  0.0000
 2016 297    24    15    327  3.2393  0.0220  2.1505  0.7405  0.1385 0.00000  3.686  6.494 21.903 15.699  0.0000  0.0000  0.0000
 2016 298    25    16    346  3.3977  0.0278  2.2852  0.7433  0.1897 0.00000  3.697  6.451 23.787 19.035  0.0000  0.0000  0.0000
 2016 299    26    17    365  3.2971  0.0301  2.2059  0.7140  0.2086 0.00000  3.703  6.398 24.592 20.051  0.0000  0.0000  0.0000
 2016 300    27    18    385  3.6824  0.0325  2.4125  0.8007  0.2671 0.00000  3.704  6.345 26.375 22.181  0.0000  0.0000  0.0000
 2016 301    28    19    403  3.4090  0.0347  2.2463  0.7251  0.2728 0.00000  3.700  6.282 26.416 22.672  0.0000  0.0000  0.0000
